workout_date,work_titles,exercise_number,exercise_name,set,weight,reps,volume
2021-10-26,WOD,,KETTLEBELL SWING,2,44,30,1320
2021-10-26,WOD,,KETTLEBELL SWING,3,44,30,1320
2021-10-26,WOD,,KETTLEBELL SWING,4,0,0,0
2021-10-26,WOD,,KETTLEBELL SWING,5,0,0,0
2021-10-31,LEGS,1,BACK SQUAT,1,135,8,1080
2021-10-31,LEGS,1,BACK SQUAT,2,135,8,1080
2021-10-31,LEGS,1,BACK SQUAT,3,135,8,1080
2021-10-31,LEGS,1,BACK SQUAT,4,145,8,1160
2021-10-31,LEGS,1,BACK SQUAT,5,145,8,1160
2021-10-31,LEGS,2,DEADLIFT,1,145,8,1160
2021-10-31,LEGS,2,DEADLIFT,2,155,8,1240
2021-10-31,LEGS,2,DEADLIFT,3,155,8,1240
2021-10-31,LEGS,2,DEADLIFT,4,165,8,1320
2021-10-31,LEGS,2,DEADLIFT,5,165,8,1320
2021-10-31,LEGS,3.1,LEG EXTENSION,1,50,12,600
2021-10-31,LEGS,3.1,LEG EXTENSION,2,50,12,600
2021-10-31,LEGS,3.1,LEG EXTENSION,3,55,12,660
2021-10-31,LEGS,3.1,LEG EXTENSION,4,60,12,720
2021-10-31,LEGS,3.1,LEG EXTENSION,5,0,0,0
2021-10-31,LEGS,3.2,SEATED LEG CURL,1,130,10,1300
2021-10-31,LEGS,3.2,SEATED LEG CURL,2,130,12,1560
2021-10-31,LEGS,3.2,SEATED LEG CURL,3,135,12,1620
2021-10-31,LEGS,3.2,SEATED LEG CURL,4,140,12,1680
2021-10-31,LEGS,3.2,SEATED LEG CURL,5,0,0,0
2021-11-02,CHEST_AND_BACK,1.1,FLAT BENCH PRESS,1,115,10,1150
2021-11-02,CHEST_AND_BACK,1.1,FLAT BENCH PRESS,2,115,10,1150
2021-11-02,CHEST_AND_BACK,1.1,FLAT BENCH PRESS,3,115,8,920
2021-11-02,CHEST_AND_BACK,1.1,FLAT BENCH PRESS,4,115,8,920
2021-11-02,CHEST_AND_BACK,1.1,FLAT BENCH PRESS,5,115,8,920
2021-11-02,CHEST_AND_BACK,1.2,WIDE LAT PULLDOWN,1,80,12,960
2021-11-02,CHEST_AND_BACK,1.2,WIDE LAT PULLDOWN,2,90,12,1080
2021-11-02,CHEST_AND_BACK,1.2,WIDE LAT PULLDOWN,3,100,8,800
2021-11-02,CHEST_AND_BACK,1.2,WIDE LAT PULLDOWN,4,90,10,900
2021-11-02,CHEST_AND_BACK,1.2,WIDE LAT PULLDOWN,5,90,10,900
2021-11-02,CHEST_AND_BACK,2.1,INCLINE DUMBBELL PRESS,1,50,12,600
2021-11-02,CHEST_AND_BACK,2.1,INCLINE DUMBBELL PRESS,2,60,12,720
2021-11-02,CHEST_AND_BACK,2.1,INCLINE DUMBBELL PRESS,3,70,10,700
2021-11-02,CHEST_AND_BACK,2.1,INCLINE DUMBBELL PRESS,4,70,9,630
2021-11-02,CHEST_AND_BACK,2.1,INCLINE DUMBBELL PRESS,5,0,0,0
2021-11-02,CHEST_AND_BACK,2.2,LAT PULLDOWN NARROW,1,80,12,960
2021-11-02,CHEST_AND_BACK,2.2,LAT PULLDOWN NARROW,2,90,12,1080
2021-11-02,CHEST_AND_BACK,2.2,LAT PULLDOWN NARROW,3,100,12,1200
2021-11-02,CHEST_AND_BACK,2.2,LAT PULLDOWN NARROW,4,100,11,1100
2021-11-02,CHEST_AND_BACK,2.2,LAT PULLDOWN NARROW,5,0,0,0
2021-11-02,CHEST_AND_BACK,3.1,FLAT DUMBBELL PRESS,1,90,7,630
2021-11-02,CHEST_AND_BACK,3.1,FLAT DUMBBELL PRESS,2,90,6,540
2021-11-02,CHEST_AND_BACK,3.1,FLAT DUMBBELL PRESS,3,90,5,450
2021-11-02,CHEST_AND_BACK,3.1,FLAT DUMBBELL PRESS,4,0,0,0
2021-11-02,CHEST_AND_BACK,3.1,FLAT DUMBBELL PRESS,5,0,0,0
2021-11-02,CHEST_AND_BACK,3.2,FLAT BENCH ROW (SINGLE),1,70,6,420
2021-11-02,CHEST_AND_BACK,3.2,FLAT BENCH ROW (SINGLE),2,70,8,560
2021-11-02,CHEST_AND_BACK,3.2,FLAT BENCH ROW (SINGLE),3,70,8,560
2021-11-02,CHEST_AND_BACK,3.2,FLAT BENCH ROW (SINGLE),4,0,0,0
2021-11-02,CHEST_AND_BACK,3.2,FLAT BENCH ROW (SINGLE),5,0,0,0
2021-11-05,ARMS,1,SEATED DUMBBELL PRESS,1,70,8,560
2021-11-05,ARMS,1,SEATED DUMBBELL PRESS,2,60,12,720
2021-11-05,ARMS,1,SEATED DUMBBELL PRESS,3,60,11,660
2021-11-05,ARMS,1,SEATED DUMBBELL PRESS,4,60,10,600
2021-11-05,ARMS,1,SEATED DUMBBELL PRESS,5,60,10,600
2021-11-05,ARMS,2,STANDING BARBELL PRESS,1,40,10,400
2021-11-05,ARMS,2,STANDING BARBELL PRESS,2,50,10,500
2021-11-05,ARMS,2,STANDING BARBELL PRESS,3,50,10,500
2021-11-05,ARMS,2,STANDING BARBELL PRESS,4,50,10,500
2021-11-05,ARMS,2,STANDING BARBELL PRESS,5,50,9,450
2021-11-05,ARMS,3,BICEP CURL BAR,1,45,12,540
2021-11-05,ARMS,3,BICEP CURL BAR,2,50,10,500
2021-11-05,ARMS,3,BICEP CURL BAR,3,50,10,500
2021-11-05,ARMS,3,BICEP CURL BAR,4,50,8,400
2021-11-05,ARMS,3,BICEP CURL BAR,5,0,0,0
2021-11-05,ARMS,4,TRICEP PULLDOWN,1,30,12,360
2021-11-05,ARMS,4,TRICEP PULLDOWN,2,30,12,360
2021-11-05,ARMS,4,TRICEP PULLDOWN,3,40,9,360
2021-11-05,ARMS,4,TRICEP PULLDOWN,4,40,8,320
2021-11-05,ARMS,4,TRICEP PULLDOWN,5,0,0,0
2021-11-07,LEGS,1,BACK SQUAT,1,135,8,1080
2021-11-07,LEGS,1,BACK SQUAT,2,145,8,1160
2021-11-07,LEGS,1,BACK SQUAT,3,155,8,1240
2021-11-07,LEGS,1,BACK SQUAT,4,165,8,1320
2021-11-07,LEGS,1,BACK SQUAT,5,175,8,1400
2021-11-07,LEGS,2,DEADLIFT,1,155,8,1240
